,Topic,For_Info
1409,معلمان ،اولیا ،دانش آموزان، اساتید دانشگاه وعلاقه مندان حوزه تعلیم و تربیت,-1
1410,جمعی از جانبازان، رزمندگان و خانواده ایثارگران,122
1411,جمعی از دانش‌‌آموزان، دانش‌جویان، طلاب، پژوهشگران، نویسندگان، مصححان متون,-1
1412,جمعی از اهالی رسانه، سینماگران و آحاد جامعه,-1
1413,دانشجویان رشته مهندسی علوم دامی، مسئولین فنی تولید در واحد‌های دامپروری و کارخانجات تولید خوراک دام، اعضای اتحادیه‌های دام سبک و سنگین، فعالان و تولیدکنندگان صنعت دامپروری,6
1414,جمعی از کارکنان وزارت بهداشت و گروه‌های پرستاری,-1
1415,جمعی از جامعه بزرگ ایثارگران و خانواده معزز آنان,122
1416,جمعی از شهروندان ایرانی,-1
1417,خانواده شهدا و ایثارگران,87
1418,جمعی از مردم عزیز کشورمان,70
1419,عموم مردم و قوم لر,-1
1420,جمعی از اعضای انجمن انبوه‌سازان و سازندگان مسکن و ساختمان,119
1421,دانشجویان رشته‌های پزشکی و جوان‌پزشکان,78
1422,جمعی از کارگران و مردم ایران,70
1423,جمعی از جوانان و بانوان,62
1424,جمعی از خبرنگاران و شهروندان ایران,-1
1425,جمعی از تولید کنندگان اسب عرب -سوارکاران و مربیان اسب,-1
1426,دانش‌آموزان و داوطلبان کنکور سراسری,1
1427,عموم مردم و فعالان مجازی,-1
1428,جمعی از فعالان اجتماعی و اقتصادی,0
1429,مدیران مراکز مثبت زندگی سراسر کشور,12
1430,جمعی از شاغلان و بازنشستگان دانشگاه های پیام نور سراسر کشور,24
1431,آحاد جامعه,15
1432,حواله داران شاهین,-1
1433,جمعی از سهامداران خرد و فعالان بازار سرمایه,98
1434,جمعی از آسیب‌دیدگان تخلف,5
1435,هنرمندان و فرهنگیان,43
1436,معلمین آینده,-1
1437,جمعی از جامعه بازنشستگان کارگری تامین اجتماعی مشهدمقدس,125
1438,جمعی از کارمندان و کارگران,17
1439,جمعی از بازنشستگان و شاغلان فرهنگی,-1
1440,جمعی از کارکنان دولت,17
1441,جمعی از مسلمانان و شیعیان,62
1442,عموم مردم ایران برای امنیت، آینده شغلی و غیره,-1
1443,عموم مردم و به ویژه متخصصان آب و محیط‌زیست,0
1444,جمعی از فرهنگیان ،دانش آموزان ،اولیا دانش آموزان,134
1445,دانشگاهیان و وکلا,42
1446,جمعی از مردان، دختران و زنان کشور,-1
1447,معلمان غیر بومی,101
1448,نیروهای پیمانکاری سراسر کشور,12
1449,معلمان و کارکنان مدارس استثنایی سطح کشور,-1
1450,فعالین اجتماعی مدنی ، پزشکان، اقتصاددانان,0
1451,جمعی از کنش‌گران اجتماعی و سیاسی، حامیان ستادی و مردم استانهای جنوبی کشور,0
1452,جمعی از کنشگران سیاسی و اجتماعی ایران,0
1453,مدیران شرکت های حمل ونقل بین المللی,39
1454,فرهنگیان و بازنشستگان,-1
1455,جمعی از ملت آزاده ایران,70
1456,ناشرین کتاب؛ نویسندگان، اساتید، صاحبنظران حوزه کتاب و کتابخوانی، ویراستاران، مترجمین، مولفین، مصنفین و پدیدآورندگان آثار مکتوب,-1
1457,جمعی از پذیرفته شدگان مرحله اول آزمون دبیری و هنر آموز,-1
1458,جمعی از هواداران دکتر جلیلی,0
1459,حامیان حیوانات زنجان و عموم مردم میهن عزیز,-1
1460,بازنشستگان کشوری و لشگری,8
1461,جمع کثیری از داوطلبین آزمون استخدامی آموزگاری ۱۴۰۳,57
1462,دلسوزان و دغدغه‌مندان توسعه و آبادانی کشور,0
1463,جمعی از کارشناسان شاغل در وزارت صنعت، معدن و تجارت,6
1464,جمعی از فعالین عدالتخواه,-1
1465,جمعی از معلمان، دانش آموزان، والدین، اساتید و علاقه‌مندان حوزه تعلیم وتربیت,134
1466,مطالبه‌گران کشوری,-1
1467,طرفداران منتخب ملت، دکتر مسعود پزشکیان,18
1468,جمع کثیری از فرزندان و همسران شهدای کشور,122
1469,جمعی از کنشگران اجتماعی .جرم شناسان و جامعه شناسان و عموم مردم و ....,22
1470,جمعی از رای دهندگان دوره دوم ریاست جمهوری,0
1471,جمعی از وکلا، حقوقدانان و اساتید دانشگاه,-1
1472,جمعی از دانشجویان کشور,-1
1473,کنش‌گران ستادی دکتر مسعود پزشکیان,0
1474,حامیان شرکت کننده در انتخابات موافق دکتر پزشکیان,0
1475,جمعی از کامیون‌داران,5
1476,کمیته بانوان ستاد دانشگاهیان,-1
1477,جمعی از خانواده شهدای مدافع حرم,122
1478,جمع کثیری از بازاریان,-1
1479,جمع کثیری از آموزگاران مدارس غیردولتی سراسر کشور,-1
1480,جمعی از جوانان و دانشجویان ایران,62
1481,استادان دانشگاه فرهنگیان,55
1482,جمعی از اعضای کانون سردفتران و دفتریاران,-1
1483,جمعی از بازاریان، کسبه و فروشندگان مواد غذایی,-1
1484,عموم مردم ایران به‌ویژه کسانی که آرزومند ارتقاء اعتماد عمومی و سرمایه‌ اجتماعی و افزایش میزان مشارکت در انتخابات هستند,6
1485,جمعی از جامعه پزشکی کشور,-1
1486,جمعی از اصحاب رسانه و دانشجویان دانشگاه های کشور، جوانان دغدغه مند و وطن پرست,-1
1487,جمعی ز اصولگرایان . انقلابیون . بسیجیان .کارگران کارخانجات,22
1488,جمعی از معلمان و فرهنگیان شاغل و بازنشسته و اولیاء دانش آموزان,88
1489,جمعی از فعالان مدارس و مراکز دولتی,-1
1490,جمعی از جامعه دفاتر اسناد رسمی,-1
1491,جمعی از فرهنگیان فرهیخته و آینده سازان سراسر کشور,-1
1492,عموم مردم ایران، رای دهندگان در انتخابات ریاست جمهوری ایران,0
1493,مهندسین ناظر شرکت نفت,49
1494,عموم مردم و تشکل‌های سیاسی و اجتماعی، بنگاه‌های اقتصادی، مراکز آموزشی و...,22
1495,جمعی از دستیاران تخصصی,-1
1496,جمعی از کسبه صنف فروش تلفن همراه ، مصرف کنندگان گوشی‌های آیفون و تمامی اقشار مختلف مردم,54
1497,تعدادی از شرکت‌های دانش بنیان، استارت‌آپ‌ها، سازندگان فناورمحور، کارآفرینان و نخبگان صنعت,-1
1498,جمعی از اعضای هیات علمی دانشگاه‌ها، موسسات آموزشی، پژوهشی و فناوری کشور,-1
1499,جمعی از معلمان متوسطه اول و دوم، دانش آموزان متوسطه اول و دوم و اولیا آنها,41
1500,جمعی از حقوقدانان و وکلای کشور,-1
1501,جمعی از جامعه بازنشستگان کارگری تامین اجتماعی,125
1502,عموم ملت نجیب ایران,18
1503,بانوان حامی دکتر جلیلی,0
1504,عموم مردم عادی و تجار,102
1505,جمعی از وکلای کانون وکلای دادگستری ، اتحاد وکلای ایران (آوا) و عموم مردم,89
1506,جمعی از نخبگان، شرکت‌های دانش‌بنیان و فعالین اکوسیستم فناوری و نوآوری کشور,-1
1507,جمعی از فرزندان شهید,-1
1508,همه اقشار,15
1509,جمعی از تشکلات مردمی,5
1510,بسیج دانشجویی دانشگاه آزاد مشهد,38
1511,جمعی از ماماها,5
1512,عموم مردم به ویژه دانش‌آموزان ، فرهنکیان ، بازنشستگان و اولیای دانش آموزان,-1
1513,جمعی از شهروندان ایرانی، دوستداران ایران قوی، سربلند و آباد,70
1514,جمعی از جامعه نظام مهندسی کشور,119
1515,خریداران شرکت سایپا,19
1516,جمعی از خادمین مردم,5
1517,فروشندگان دیجی کالا,59
1518,جمعی از جامعه انقلابی و دلسوز کشور,-1
1519,جمعی از دانشگاهیان، نخبگان حوزوی و اقشار مختلف مردم,-1
1520,جمعی از دانش آموزان متقاضی تیزهوشان,88
1521,دانش آموزان,35
1522,حسابداران، حسابرسان,132
1523,جمعی از فعالین نظام سلامت و عموم مردم,86
1524,خریداران خودرو و عامه مردم,31
1525,عده زیادی ازفارغ التحصیلان ودانشجویان,-1
1526,جمعی از شهروندان، سازمان یونسکو و ..‌.,22
1527,جمعی از دانشگاهیان,5
1528,جمعی از جوانان و دانشجویان,62
1529,جمعی از فعالان جهادی، گروه‌‎های جهادی و...,22
1530,جمعی از اولیای دانش آموزان کلاس ششم و نهم,41
1531,عموم ملت شریف و عزتمند ایران اسلامی,18
1532,معترضان و منتقدان,42
1533,جمعی از مردم ایران، میهن‌پرستان،٬ باستان‌شناسان و٬تاریخ دوستان,0
1534,ستاد مردمی حوزوی دکتر جلیلی در قم مقدس و عموم مردم,0
1535,جمعی از شرکت‌های مسافربری، مالکین اتوبوس و مسافرین,39
1536,عموم حامیان دکتر پزشکیان به خصوص دغدغه‌مندان ایران عزیز,-1
1537,جمعی از روسا و اساتید برجسته دانشگاه‌های کشور,-1
1538,جمعی از فعالان فرهنگی، گردشگری و دوست‌داران ایران بزرگ,0
1539,کانون محتوا ستاد مرکزی اجماع نیروهای انقلاب اسلامی,-1
1540,جمعی از دانشجویان رشته اقتصاد دانشگاه‌های تهران، صنعتی شریف و علامه طباطبایی,40
1541,جمعی از فرهنگیان و کارکنان آموزش و پرورش,82
1542,جمعی از کارگران کارمندان و روحانیت و کلیه مردم ایران اسلامی برای انتخاب بهترین,70
1543,جمعی از مربیان طرح هوشمندسازی کشاورزی,-1
1544,جمعی از مردم شریف و فهیم ایران اسلامی,70
1545,جوانان، بانوان، نیروهای انقلابی، فرهنگیان، دانشگاهیان و..,22
1546,جمعی از دانش آموزان و اولیا ششم و نهم,41
1547,دارندگان وسیله نقلیه شهری,33
1548,جامعه علوم پزشکی حامی انقلاب اسلامی,32
1549,جمعی از شرکت‌های حمل و نقل کالای جاده‌ای ، کارمندان شرکت‌ها ، رانندگان کامیون و کامیونداران,39
1550,جمعی از معلم‌های خرید خدمات کارنامه سبز,-1
1551,جمعی از پرسنل وزارت نیرو (خصوصی و غیر خصوصی),-1
1552,جمعی از جامعه دانشجویان حامی انقلاب اسلامی، آحاد مردم دلسوز انقلاب اسلامی، قشر فرهیخته معلمان و دیگر اقشار شریف,-1
1553,جمعی از روستائیان و عشایر,-1
1554,دانش آموزان پایه ششم به هفتم,41
1555,جمعی از جوانان، بازنشستگان، کلیه صنوف,-1
1556,جهادتبیین و بصیرت,-1
1557,صاحبان شرکت‌های موفق و یا تیزپا,-1
1558,جمعی از شاغلان صنعت نفت، فرهنگیان ، شهرداران,-1
1559,عموم مردم و شهروندان آشنا به نحوه مدیریت جهادی سردار قالیباف,-1
1560,جمعی از جامعه حقوقی,-1
1561,جمعی از دانش آموزان معترض به نتیجه پذیرش کنکور فرهنگیان,57
1562,رهروان گام دوم انقلاب,0
1563,جمعی از جامعه پزشکی، داروسازی، دندانپزشکی، پرستاری و مامایی، پیراپزشکی، توانبخشی، بیهوشی، اتاق عمل، مدیریت بیمارستانی و ....,-1
1564,جمعی از داوطلبان آزمون‌های استخدامی آموزش و پرورش,-1
1565,جمعی از کارگران، بازنشستگان، عموم مردم,-1
1566,عموم ملت مومن انقلابی,18
1567,وطن‌پرستان و دغدغه‌مندان توسعه و آبادانی کشور,0
1568,جمعی از مردم و نانوایان ایران,-1
1569,جمعی از فرزندان شهید شاغل در صنعت نفت,6
1570,جمعی از فرهنگیان استان البرز,-1
1571,جمعی از بازنشستگان فولاد و معدن کشور,-1
1572,جمعی از پرسنل وزارت بهداشت، درمان و آموزش پزشکی,4
1573,جمعی از مردم کشور ایران,70
1574,جمعی از نیروهای انقلاب,5
1575,جمعی از پایه دهم انسانی‌ها,-1
1576,جمعی از همکاران شاغل فرهنگی و دانش آموزان و مسئولین ادارات آموزش و پرورش و دست‌اندرکار در امر امتحانات,-1
1577,جمعی از فرهنگیان بازنشسته و شاغل,-1
1578,جمعی از روشنفکران، دانشگاهیان(اساتید دانشگاه و دانشجویان)، فرهنگیان، بازنشستگان، کارگران، اصناف و کسبه و همه کسانی که دل در گروی ایرانی سربلند دارند,10
1579,جمعی از کنش‌گران سیاسی و اجتماعی,0
1580,جمعی از اساتید و دانشجویان و‌کارمندان دانشگاه پیام نور,24
1581,والدین فرزندان خاص,-1
1582,جمعی از اعضای ستاد مردمی و حامیان دکتر قالیباف - جمعیت پیشرفت و عدالت ایران اسلامی، عموم مردم عزیز ایران,0
1583,جمعی از دانش آموزان، والدین,88
1584,جمعی از کادر سلامت و درمان بخصوص پرستاران,-1
1585,جمعی از آمرین به معروف و ناهیان از منکر,-1
1586,جمعی از دبیران زبان انگلیسی و دانش‌آموزان متوسطه دوم,-1
1587,جمعی از معلمان انقلابی ایران اسلامی,70
1588,جمعی از ایثارگران و خانواده شهدا جمع کثیری از مردم انقلابی، متفکر و مومن ایران اسلامی,-1
1589,جامعه پزشکی و پیراپزشکی کشور,32
1590,دانشجویان دانشگاه پیام نور,96
1591,مردم ایران و شیعیان امیرالمؤمنین(ع),18
1592,ایل قشقایی,131
1593,نیروهای پیش دبستانی بعد از سال ۹۱ شاغل در مدارس دولتی,101
1594,علی افروز (از طرف معاونت حقوقی و نظارت ستاد مرکزی جناب آقای دکتر مسعود پزشکیان),-1
1595,جمعی از نخبگان و مردم انقلابی,86
1596,جمعی از نخبگان، اندیشمندان، دانشجویان، پزشکان و کادر درمان، مهندسان، وکلا، فرهنگیان، کارگران، کارمندان، بازنشستگان و آحاد ملت انقلابی و شهیدپرور ایران,10
1597,جمعی از انقلابیون,5
1598,کارگران، معلمان، پرستاران و سایر مزدبگیران,47
1599,جمعی از دانشجویان دانشگاه پیام نور,24
1600,جمعی از دانشجویان دانشگاه پیام نور کشور,24
1601,جمعی از خانواده های شهدا و ایثارگر,122
1602,جمعی از فرهنگیان،کارمندان وزارت بهداشت،بازنشستگان لشکری وکشوری,-1
1603,جمعی از دانش آموزان,88
1604,جمعی از دانش آموزان و والدین,88
1605,دانشگاهیان,2
1606,جمعی از جوانان و دانشحویان,62
1607,جمعی از جامعه کارمندی,-1
1608,تعدای از شرکت‌های توزیع کننده اقلام آزمایشگاهی,-1
1609,جمعی از معلمان مدارس غیردولتی,-1
1610,حامیان ایران سربلند و مقتدر,18
1611,جمعی از مجموعه نیروهای انقلاب,5
1612,جمعی از افراد کد ۱۹ در مرحله‌ی تجدید نظر دوم,57
1613,جمعی از مربیان پیش دبستانی,-1
1614,جمعی از مستاجران,5
1615,جمعی از ملت بزرگ ایران,70
1616,دوست‌داران محیط زیست کشور,0
1617,جمعی از سهام‌داران بازار سرمایه و داراندگان سهام عدالت,98
1618,جمعی از دانش آموزان و معلمان درس زیست شناسی,88
1619,جمعی از کنکوری‌ها,5
1620,جمعی از هواداران فوتبال پاک,92
1621,جمعی از معلولین و خانواده‌های معلولین,-1
1622,عموم مردم دغدغه‌مند,68
1623,جمعی از سهامدارن,5
1624,جمعی از طرفداران فوتبال پایه کشور و تهران,92
1625,جمعی از دانش آموزان، اولیا و دبیران,88
1626,جمعی از معلم‌های سراسر کشور,-1
1627,جمعی از کارشناسان و فعالان ایمنی و حوزه hse و مهندسان صنایع و کارشناسان و مهندسان شیمی,0
1628,داوطلبین آزمون مرکز وکلای قوه قضائیه,1
1629,زنان مهاجر,73
1630,دبیران و دانش آموزان مقطع متوسطه اول,41
1631,جمعی از دانش آموزان و فرهنگیان,88
1632,جمعی از اشخاص حقوقی و دواطلبین آزمون وکالت,57
1633,جمعی از دانش آموزان، دبیران و والدین,88
1634,جمعی از دانش آموزان پایه نهم,41
1635,جمعی از سربازنخبگان وزارت بهداشت,-1
1636,جمعی از پذیرفته شدگان سردفتری ۱۴۰۱,57
1637,جمع کثیری از مردم ولایت‌مدار و انقلابی، خانواده معظم شهدا و ایثارگران، فرهنگیان و اصناف کشور,-1
1638,جمعی از دانش آموزان و دبیران محترم,88
1639,جمعی از زنان سرزمینمان ایران,-1
1640,جمعی از طلاب، دانشجویان، فعالان فرهنگی و انقلابی و ...,22
1641,جمعی از فعالین صنف تالار و رستوران و تهیه غذا,-1
1642,عموم مردم اعم از فرهنگی ،کارگران،بازاریان و...,22
1643,جمعی از نیروهای خرید خدمات,-1
1644,جمعی از دانش آموزان و مدرسان کنکور هنر و دانش‌آموزان هنرستانی,88
1645,آحاد مردم محترم کشور عزیزمان ایران,18
1646,جمعی از کارگران بخش تولید برق کشور,17
1647,جمعی از صنعتگران فعال در شهرک‌های صنعتی,6
1648,والدین و دانش آموزان مقطع ششم و نهم,41
1649,جمعی از دانشگاهیان، طلاب، فرهنگیان، کارگران، هنرمندان، ورزشکاران، جوانان و نوجوانان,10
1650,جمعی از فرهنگیان و ...,22
1651,جمعی از زنان محترم کشور,-1
1652,جمعی از کنش‌گرانِ حفاظت از محیط‌زیست و احیای منابع طبیعی,0
1653,جمعی از جامعه حقوقدانان، وکلا، اساتید و دانشجویان,-1
1654,جمعی از جوانان ایران اسلامی,70
1655,جمعی از کارگران سراسر کشور,-1
1656,عموم‌ ملت ایران ، دوستان محیط زیست، معترضان به وضعیت موجود,0
1657,جمعی از بازنشستگان لشکری و کشوری ، فرهنگیان، کارمندان، اصحاب رسانه، حوزه های علمیه سراسر کشور، صنعتگران ، خانواده های معظم شهدا ، ایثارگران، جانبازان ، آزادگان ، هنرمندان ، رانندگان شهری و برون شهری ، اتحادیه های مختلف صنفی و...,10
1658,جمعی از دانش آموزان - معلمان - والدین,88
1659,جمعی از نخبگان علمی، سیاسی و حامیان مردمی، فعالان بخش تعاون,0
1660,عموم مردم خصوصا نخبگان و فرهیختگان و اساتید و جوانان و بانوان,-1
1661,جمعی از داوطلبان آزمون آیلتس,57
1662,جمعی از شهروندان و فعالان مدنی ایران,0
1663,جمعی از بانوان دانشگاهی,5
1664,جمعی از دولتمردان، صنعتگران، بازاریان، اصناف، اتحادیه‌ها، دانشگاهیان، کارگران، بازنشستگان، هنرمندان، ورزشکاران، و ...,10
1665,جمعی از دانشجویان استان خراسان رضوی,-1
1666,جمعی از انقلابی‌ها، حوزویان ، امت حزب‌الله,-1
1667,جمعی از تولید‌کنندگان و سهامداران بورس,98
1668,جمعی از تجار، شرکت‌های بازرگانی، تولیدکنندگان,54
1669,جمعی از مادران فرهنگی، مادران شاغل، مادران دارای فرزند شیر خوار، زنان شاغل,-1
1670,جمعی از جامعه پزشکان عمومی، متخصص و فوق تخصص شاغل در بخش دولتی,6
1671,جمعی از سربازان خدوم و جان بر کف جمهوری اسلامی,70
1672,جمعی از کارمندان و دانشجویان فوریت‌های پزشکی و سازمان اورژانس کشور,-1
1673,جمعی از رانندگان و کامیون‌داران فعال و تلاشگر کشور,39
1674,جمعی از ملت ایران,70
1675,جامعه معلولین شاغل,56
1676,داوطلبان کنکور وزارت بهداشت ۱۴۰۳,128
1677,طرفداران اعتدال و اصلاحات,0
1678,اساتید و دانشگاهیان دانشگاه صنعتی امیرکبیر,-1
1679,فعالانِ حامی فلسطین,0
1680,دانشجویان رشته حسابداری,-1
1681,جمعی از فروشندگان لوازم خودرویی و موتوری یدکی، کشاورزان، کارمندان، رانندگان خودروهای سنگین و سبک و تاکسی و رانندگان اسنپ و تپسی,39
1682,جمعی از داوطلبان اهل تسنن استخدامی ماده ۲۸,57
1683,جمعی از مردم با وجدان ایران و جهان,70
1684,جمعی از رانندگان محترم وسائط نقلیه سنگین کالای سراسر کشور,39
1685,جمعی از داوطلبان آزمون‌های حقوقی و دانشجویان,57
1686,جامعه مامایی و مادران کشور ایران,32
1687,جامعه روابط عمومی، ارتباطات و رسانه,-1
1688,جامعه ناشنوایان,56
1689,شاغلین در مراکز بهداشتی سراسر کشور,6
1690,جمعی از اهالی بورس، بخصوص سهامداران مال‌باخته بانک دی,98
1691,کارمندان، فرهنگیان,132
1692,وکلا,2
1693,فرهنگیان شاغل و بازنشسته,-1
1694,جمعی از کارگزاران صندوق،بیمه شدگان صندوق که اکثریت جامعه هستند؛ مثل کشاورزان، روستاییان و عشایر ایران,-1
1695,مادران و پدران دارای فرزند پسر,-1
1696,دانشجویان، دانش آموختگان، متخصصین، اساتید، سمن‌ها و فعالان محیط زیستی,130
1697,کارمندان بانک‌ها و موسسات مالی,3
1698,کشاورزان,2
1699,مشتریان این شرکت,19
1700,کارکنان رسمی وزارت نفت و شرکت‌های زیرمجموعه,25
1701,مادران و پدران ایران,-1
1702,کارگران و بازنشستگان,114
1703,کارنامه سبزهای آموزگاری,-1
1704,فارغ‌التحصیلان رشته‌های پیراپزشکی,53
1705,مستاجران و بی خانمان‌ها,114
1706,کارکنان صف بانک مسکن,104
1707,داوطلبین دستیاری ۵۱,1
1708,کارکنان بانک‌های دولتی,13
1709,صنف شریف طلا، جواهر و سنگ‌های قیمتی,44
1710,دبیران ریاضی,2
1711,جمعی از کارمندان کلیه بانک‌ها در همه شهرها و استان‌های کشور,6
1712,خریداران خودرو,19
1713,سهامداران,67
1714,جمعی از سهامداران حقیقی بورس و اوراق بهادار تهران,98
1715,والدین فرزندان اوتیستیک,-1
1716,مشمولان وظیفه,118
1717,دانشجویان و فارغ‌التحصیلان درمانده رشته فیزیک,28
1718,نمایندگان بیمه دانا,100
1719,عموم مردم خصوصا مادران فرزندان ایران زمین,-1
1720,نیروهای شرکتی سازمان بنادر و دریانوردی کل کشور,-1
1721,بازنشستگان فرهنگی ۱۴۰۲,105
1722,حسابداران و فعالین اقتصادی شناسنامه‌دار,-1
1723,کارنامه قرمزهای آزمون استخدامی ۱۴۰۳ آموزگار ابتدایی,-1
1724,نیروهای کبر سن شرکت ملی مناطق نفت‌خیز جنوب اهواز,25
1725,بازنشستگان وزارت بهداشت و درمان (وبدا ساخا),4
1726,جامعه دندانپزشکی کشور,32
1727,بازنشسته‌های فرهنگی,105
1728,نمایندگان و فعالین ایثارگری بند دال وزارت نفت پالایشگاه آبادان,25
1729,اولیای دانش آموزان مدارس غیر دولتی,-1
1730,رانندگان و بازنشستگان رانندگی,33
1731,ایثارگران ۵٪ و خانواده‌ی ایشان,23
1732,بازنشستگان و شاغلین عضو صندوق‌های بازنشستگی نفت,-1
1733,صنف خبازان,-1
1734,کارمندان ، کارگران و حقوق بگیران و افراد تحت تکفل آن‌ها,-1
1735,کارکنان گمرک جمهوری اسلامی ایران,-1
1736,کارمندان رسمی ، پیمانی ، قراردادی معین ، کارگری و کارمند شرکتی دولت,-1
1737,کسبه آرایشی,-1
1738,رشته‌های علوم آزمایشگاهی بالینی,106
1739,عموم مردم و اعضای جامعه بشری,-1
1740,مردم شیراز,7
1741,ورزشکاران و مربیان و افسران ملی و پیشکسوتان بادبانی,109
1742,کتابداران ساعتی نهاد کتابخانه‌های عمومی کشور,-1
1743,جامعه معلولین ضایعه نخاعی,56
1744,سرباز معلمان، بازنشستگان فرهنگی و فرهنگیان,47
1745,پزشکان متخصص درمانی کل کشور,12
1746,شرکت کنندگان آزمون آموزگاری,1
1747,صنف انجمن رانندگان برون شهری,33
1748,اهالی موسیقی,43
1749,داوطلبان سیل زده کنکور ارشد بهداشت 1403 و دوستان و خانواده‌های آنان,-1
1750,شهروندان دارای معلولیت,16
1751,شاغلین حرفه دامپزشکی در تمام رده‌ها,6
1752,آتش‌نشانان کشوری و مردم,-1
1753,عموم مردم به ویژه هنردوستان,103
1754,آنهایی که دل در گرو میهن دارند و خواهان برخورد با مفسدین هستند.,0
1755,کارکنان نهاد کتابخانه‌های عمومی کشور,-1
1756,جمعی از مردم و خانواده‌‌های کارکنان بانک‌ها,17
1757,کارمندان و کارکنان دولت,13
1758,نانوایان و مردم دلسوزی که وضعیت نابسامان نانوایان را از نزدیک مشاهده کرده‌اند,-1
1759,مشتریان پژو پارس سامانه یکپارچه خودرو,19
1760,مردم دوستدار آینده,-1
1761,دانش آموزان و خانواده‌های شرکت کننده در هجدهمین دوره مسابقات روبوکاپ آزاد ایران,-1
1762,مربیان مراکز نگهداری از بچه‌های بی‌سرپرست,-1
1763,مهندسین شهرساز کشور,49
1764,خوشنویسان کشور,121
1765,عموم مردم، گیمرها و کاربران اینترنت,-1
1766,راهنمایان گردشگری ، تاریخ‌دانان ، علاقمندان به تاریخ ، اشخاص ایرانی و ایران دوست,0
1767,جامعه گیمرهای ایرانی,-1
1768,پزشکان، پرستاران، کادر درمان,4
1769,پرسنل شرکت مجتمع گاز پارس جنوبی، خانواده شهدا، جانبازان، رزمنده، ایثارگران و.....,22
1770,سربازی وظیفه,118
1771,اقشار مختلف جامعه و کارکنان شبکه بانکی کشور,-1
1772,نیروهای طرح‌های عمرانی وزارت نیرو,-1
1773,دانشجویان مقطع دکترا وزارت بهداشت درمان و آموزش پزشکی,4
1774,جمعی از بازنشستگان صندوق بازنشستگی کشوری و بیمه‌شدگان آتیه‌سازان حافظ,125
1775,بازنشستگان کشوری، لشکری، تامین اجتماعی,8
1776,هواداران و پیشکسوتان فوتبال,50
1777,فرهنگیان بازنشسته ۱۴۰۲,105
1778,خانواده محکومین مواد مخدر,120
1779,مشاوران محترم املاک کشور,44
1780,سهامداران و عموم مردم,31
1781,فرزندان ایثارگران,120
1782,کارکنان شرکتی سازمان‌ها و ارگان‌های جمهوری اسلامی ایران,-1
1783,تحصیلکردگان و شاغلین در مدارس غیردولتی,101
1784,اعضای سازمان نظام مهندسی معدن,20
1785,صنف مشاوران املاک و خودرو,44
1786,کارکنان سازمان ثبت اسناد و املاک کشور,-1
1787,جا ماندگان حق‌التدریسی و سرباز معلمان قبل از سال ۹۱,93
1788,بازنشستگان سازمان بازنشستگی کشوری,8
1789,مربیان پیش‌دبستانی‌های ضمیمه دولتی,-1
1790,خانواده ایثارگران و کارگران,87
1791,شهروندان تهرانی,16
1792,کارگرانی که به صورت قراردادی برای شرکت‌های نیرو پذیر کار می‌کنند,-1
1793,سازمان‌های مردم نهاد و دلسوزان محیط زیست و منابع طبیعی و علاقه‌مندان به آینده کشور,0
1794,فرهنگیان و کارمندان شاغل,-1
1795,فعالان مدنی، اهالی رسانه، جامعه‌ی حقوقی کشور,-1
1796,مهندسان سازمان‌های نظام مهندسی ساختمان,20
1797,نخبگان، مدیران صنایع، مسئولین استان‌ها و...,22
1798,کارکنان,3
1799,شرکت کنندگان آزمون استخدامی وزارت بهداشت,-1
1800,دبیران شیمی و دانش‌آموزان پایه‌های دهم و یازدهم رشته‌های تجربی و ریاضی,41
1801,حواله‌داران گروه خودروسازی بهمن,19
1802,مردم خوب ایران و جمعیت ایرانیان شایسته (سازمان مردم نهاد),0
1803,ثبت نام کنندگان سایپا و سامانه یکپارچه,19
1804,نیروهای شرکتی و قراردادی کارگری و معین,3
1805,فرهنگیان و فرهنگیان بازنشسته,-1
1806,آحاد ملت ایران,18
1807,دبیران فرهنگی ماده ۲۸,137
1808,دانش آموزان و اولیا، فرهنگیان، دانشجویان، فعالان تعلیم و تربیت,45
1809,کارکنان ارکان ثالث شرکت نفت و گاز,25
1810,هزاران نفر از فرهنگیان قبولی ماده ۲۸ سال ۱۴۰۲,-1
1811,کارآموزان ورودی ۱۴۰۲ کانون وکلای دادگستری,1
1812,سهامداران خرد و بازنشستگان,67
1813,فرهنگیان بازنشستگان فرهنگی,97
1814,نخبگان,2
1815,فرهنگیان سراسر کشور و سایر کارکنان دولت,-1
1816,عموم مردم به این دلیل که ماهیان بومی ایران متعلق به همه و آیندگان است.,0
1817,نمایندگان شرکتهای بیمه فعال در کشور,100
1818,تمامی مردم ایران,-1
1819,نیروهای قرارداد کارمعین آموزش و پرورش,46
1820,رانندگان تاکسی های اینترنتی,33
1821,پرسنل محترم راه آهن,3
1822,کارکنان وزارت جهاد کشاورزی,-1
1823,معلمین خرید خدمات و معلمین قرارداد کار معین,-1
1824,رانندگان، کامیون داران، مالکین کشنده,39
1825,کارکنان و کارگران سازمان بهزیستی,-1
1826,کارگران، کارمندان، بازنشستگان,47
1827,خانواده‌های بیماران سندروم دراوت,27
1828,کارکنان و بازنشستگان وزارت جهادکشاورزی و سایر کارکنان دولت,13
1829,علاقه‌مندان به تاریخ ایران، علاقه‌مندان به آثار تاریخی، کارشناسان تاریخ، گردشگران,0
1830,صنف مشاورین املاک,44
1831,دانشجویان و طلاب,42
