,Topic,Count,Name,Representation,Representative_Docs
78,77,25,77_شهدا_جانبازان_آزادگان_ایثارگران,"['شهدا', 'جانبازان', 'آزادگان', 'ایثارگران', 'رزمندگان', 'خانواده', 'معظم', 'شاهد', 'محترم', 'کثیر']","['جانبازان، ایثارگران و خانواده\u200cهای شهدا و آزادگان', 'جمعی از خانواده شهدا، آزادگان، جانبازان، ایثارگران و رزمندگان', 'خانواده شهدا، آزادگان، جانبازان، ایثارگران و رزمندگان']"
79,78,24,78_دستیاران_فک_پزشکان_صورت,"['دستیاران', 'فک', 'پزشکان', 'صورت', 'تخصصی', 'پزشکی', 'چشم', 'رادیولوژیست', 'دهان', 'کارورزان']","['دستیاران تخصصی پزشکی', 'پزشکان و دستیاران فوق\u200cتخصصی پزشکی', 'دستیاران تخصصی رشته رادیولوژی دهان، فک و صورت']"
80,79,24,79_دانشکده_شهید_بهشتی_رجایی,"['دانشکده', 'شهید', 'بهشتی', 'رجایی', 'هنر', 'فومن', 'دانشگاه', 'معماری', 'دانشجویان', 'تهران']","['دانشجویان دانشگاه شهید بهشتی تهران', 'دانشجویان دانشکده هنر و معماری دانشگاه شیراز', 'دانشجویان دانشکده مکانیک دانشگاه شهید بهشتی']"
81,80,24,80_مربیان_داوران_شنا_ورزشی,"['مربیان', 'داوران', 'شنا', 'ورزشی', 'ورزشکاران', 'شناگران', 'منجیان', 'بدمینتون', 'غریق', 'بازیکنان']","['مربیان، داوران و ورزشکاران رشته موی\u200cتای', 'مربیان و داوران تکواندو کشور', 'مربیان شنا، منجیان غریق و شناگران']"
82,81,23,81_بختیاری_چهارمحال_کهگیلویه_بویر,"['بختیاری', 'چهارمحال', 'کهگیلویه', 'بویر', 'استان', 'بلوچستان', 'خوزستان', 'بویراحمد', 'احمد', 'سیستان']","['دانشجویان استان چهارمحال و بختیاری', 'جمعی از مردم استان چهارمحال و بختیاری', 'مردم استان چهارمحال و بختیاری']"
83,82,23,82_فنی_حرفه_ای_آموزشگاه,"['فنی', 'حرفه', 'ای', 'آموزشگاه', 'آموزش', 'پرورش', 'وحرفه', 'مربیان', 'ومربیان', 'راهبران']","['کارکنان سازمان آموزش فنی و حرفه\u200cای', 'جمعی از کارکنان سازمان آموزش فنی و حرفه ای کشور', 'جمعی از کارکنان سازمان آموزش فنی و حرفه\u200cای کشور']"
84,83,23,83_عموم_مردم_شیراز_استان,"['عموم', 'مردم', 'شیراز', 'استان', 'مازندران', 'شوش', 'کوهبنان', 'کرمانشاه', 'کاندیداهای', 'بویژه']","['عموم مردم استان و کارمندان', 'عموم مردم و کارمندان استان', 'عموم مردم فرهنگ\u200cدوست شیراز و ایران و ایرانیان خارج از کشور']"
85,84,22,84_دارای_پروانه_اشتغال_فاقد,"['دارای', 'پروانه', 'اشتغال', 'فاقد', 'مدرک', 'صلاحیت', 'تحصیلات', 'نظارت', 'کارت', 'دانشگاهی']","['مهندسان دارای پروانه اشتغال', 'مهندسین دارای پروانه اشتغال تهران', 'مهندسین دارای پروانه اشتغال']"
86,85,22,85_بلوچستان_سیستان_جنوب_استان,"['بلوچستان', 'سیستان', 'جنوب', 'استان', 'یخچالی', 'موضوعات', 'زجرکشیده', 'خواه', 'سراوان', 'بومی']","['عموم مردم سیستان و بلوچستان', 'مردم استان سیستان و بلوچستان', 'مردم سیستان و بلوچستان']"
87,86,21,86_دختران_مختلف_پاشی_اسید,"['دختران', 'مختلف', 'پاشی', 'اسید', 'بیمارو', 'بدنه', 'عموم', 'نوجوان', 'استاندارد', 'قربانیان']","['جمعی از بازنشستگان و اقشار مختلف مردم', 'عموم مردم شهر تهران، جمعی از زنان، مادران و دختران نوجوان', 'جمعی از قربانیان اسید پاشی، زنان و دختران، آحاد جامعه']"
88,87,21,87_ایثارگران_جانبازان_شهدا_ایثارگر,"['ایثارگران', 'جانبازان', 'شهدا', 'ایثارگر', 'جانباز', 'فرزندان', 'خانواده', 'شاهد', 'ارتش', 'پول']","['جانبازان و ایثارگران', 'خانواده\u200cهای جانبازان و ایثارگران', 'خانواده شهدا، جانبازان و ایثارگران']"
89,88,21,88_آموزان_دانش_والدین_مدارس,"['آموزان', 'دانش', 'والدین', 'مدارس', 'دبیران', 'معلمان', 'تیزهوشان', 'سرایدارهای', 'انبارداران', 'معلمین']","['جمعی از دانش آموزان، والدین', 'جمعی از دانش آموزان', 'جمعی از دانش آموزان - معلمان - والدین']"
90,89,21,89_وکلای_دادگستری_کانون_دانان,"['وکلای', 'دادگستری', 'کانون', 'دانان', 'وکلا', 'کارآموزان', 'مرکز', 'رسمی', 'حقوقدانان', 'قضائیه']","['جمعی از وکلای دادگستری عضو کانون وکلای دادگستری و مرکز وکلای قوه قضائیه', 'وکلای دادگستری', 'وکلای دادگستری کانون\u200cهای وکلای دادگستری سراسر کشور']"
91,90,21,90_تعاونی_مسکن_اعضای_سحاب,"['تعاونی', 'مسکن', 'اعضای', 'سحاب', 'الحسنه', 'سپرده', 'قرض', 'برق', 'اعضا', 'مصرف']","['اعضای شرکت\u200cهای تعاونی', 'اعضای تعاونی\u200cهای مسکن', 'اعضای تعاونی مسکن']"
92,91,20,91_احمر_هلال_امدادگران_اورژانس,"['احمر', 'هلال', 'امدادگران', 'اورژانس', '۱۱۵', 'نجاتگران', 'جمعیت', 'فوریتهای', 'پرسنل', 'داوطلب']","['امدادگران هلال احمر', 'پرسنل رسمی، پیمانی، قراردادی، نجاتگران و امدادگران جمعیت هلال احمر و خانواده\u200cها', 'امدادگران و نجاتگران داوطلب جمعیت هلال احمر']"
93,92,20,92_هواداران_پرسپولیس_فوتبال_باشگاه,"['هواداران', 'پرسپولیس', 'فوتبال', 'باشگاه', 'استقلال', 'تیم', 'طرفداران', 'تراکتورسازی', 'خاتون', 'پاک']","['جمعی از هواداران فوتبال باشگاه استقلال ایران', 'جمعی از هواداران باشگاه\u200cهای استقلال و پرسپولیس', 'جمعی از هواداران فوتبال، هواداران استقلال، هواداران پرسپولیس، هواداران تراکتور، هواداران سپاهان']"
94,93,20,93_نهضت_بعد_سوادآموزی_۹۱,"['نهضت', 'بعد', 'سوادآموزی', '۹۱', '۹۲', 'دهندگان', 'سواد', 'سال', 'آموزی', 'حق']","['آموزش\u200cدهندگان نهضت سواد آموزی سال ۹۱ به بعد', 'جمعی از آموزش دهندگان نهضت سوادآموزی ۹۲ به بعد کشور', 'کلیه آموزش\u200cدهندگان نهضت سوادآموزی بعد از سال ۹۲']"
95,94,20,94_شهروندان_شهرستان_میبد_پیرانشهر,"['شهروندان', 'شهرستان', 'میبد', 'پیرانشهر', 'جوانرود', 'سرابله', 'سرآسیاب', 'جاسک', 'لیردف', 'فرسنگی']","['شهروندان شهرستان جاسک و لیردف', 'شهروندان میبد یزد', 'شهروندان شهرستان میبد']"
96,95,20,95_دفاع_مقدس_جنگ_تحمیلی,"['دفاع', 'مقدس', 'جنگ', 'تحمیلی', 'ایثارگران', 'هشت', 'رزمندگان', 'سال', 'جانبازان', '۵۸']","['جانبازان ۸ سال دفاع مقدس', 'ایثارگران و جانبازان دفاع مقدس', 'ایثارگران دفاع مقدس']"
97,96,19,96_پیام_نور_کاربردی_دانشگاه,"['پیام', 'نور', 'کاربردی', 'دانشگاه', 'آباده', 'علمی', 'دانشجویان', 'نوراستان', 'قم', 'سرایان']","['دانشجویان پیام نور', 'دانشجویان دانشگاه پیام نور', 'دانشجویان دانشگاه\u200cهای پیام نور']"
98,97,19,97_فرهنگی_بازنشستگان_کشوری_شاغیلین,"['فرهنگی', 'بازنشستگان', 'کشوری', 'شاغیلین', 'ولیعصر', 'خارگ', 'گردان', 'هما', 'فرهنگیان', 'جنگی']","['فرهنگیان بازنشستگان فرهنگی', 'بازنشستگان فرهنگی و فرهنگیان', 'فرهنگیان و بازنشستگان فرهنگی']"
99,98,19,98_بورس_سهامداران_سهام_بازار,"['بورس', 'سهامداران', 'سهام', 'بازار', 'سرمایه', 'حقیقی', 'بانک', 'داران', 'واگذاری', 'انصار']","['جمعی از سهام\u200cداران بورس', 'جمعی از سهامداران بورس', 'جمعی از جامعه سهامداران بورس']"
100,99,19,99_ساکن_مرکزی_عموم_دشت,"['ساکن', 'مرکزی', 'عموم', 'دشت', 'دو', 'روستانشین', 'مرید', 'اسدآباد', 'مرکزیت', 'شهرستان']","['عموم ساکنان روستایی و شهری دشت', 'عموم مردم ساکن این منطقه', 'عموم مردم و گروه\u200cهای دو شهرستان خنداب و کمیجان استان مرکزی']"
101,100,18,100_بیمه_نمایندگان_کارگزاران_فروش,"['بیمه', 'نمایندگان', 'کارگزاران', 'فروش', 'پیشخوان', 'شبکه', 'دفاتر', 'سیما', 'ict', 'کشاورزی']","['کارمندان و نمایندگان شرکت\u200cهای بیمه', 'نمایندگان شرکت\u200cهای بیمه کشور', 'نمایندگان و کارگزاران بیمه']"
102,101,18,101_غیردولتی_غیر_مدارس_نیروهای,"['غیردولتی', 'غیر', 'مدارس', 'نیروهای', 'دبستانی', 'پیش', 'دولتی', 'انتفاعی', 'شاغل', 'آموزشگا']","['مربیان پیش دبستانی شاغل در مدارس دولتی و غیردولتی سراسرکشورعزیزمان ایران', 'نیروهای آزاد مدارس غیردولتی', 'نیروهای شاغل در مدارس غیردولتی']"
103,102,18,102_عموم_فلارد_وزیر_مطروحه,"['عموم', 'فلارد', 'وزیر', 'مطروحه', 'پرونده', 'اقتصاد', 'هموطنان', 'عادی', 'تجار', 'جوانان']","['عموم مردم و جوانان فلارد', 'عموم مردم و مالباختگان پرونده مطروحه', 'همه عموم ملت و بانک مرکزی.وزیر اقتصاد']"
104,103,18,103_ویژه_مخصوصا_به_بخصوص,"['ویژه', 'مخصوصا', 'به', 'بخصوص', 'عموم', 'جوان', 'خصوص', 'اولی', 'داشت', 'وشهرسازی']","['آحاد مردم به ویژه جوانان', 'عموم مردم به ویژه زنان', 'عموم مردم به ویژه دانشجویان']"
105,104,18,104_بانک_سپه_ملت_ملی,"['بانک', 'سپه', 'ملت', 'ملی', 'صف', '۳۳۰۰۰', 'نفری', 'تدارک', 'صادرات', 'کارکنان']","['کارکنان شرکتی بانک ملت', 'کارکنان بانک ملی', 'بازنشستگان بانک ملت']"
106,105,17,105_۱۴۰۰_بازنشسته_سال_۹۹,"['۱۴۰۰', 'بازنشسته', 'سال', '۹۹', '۱۴۰۱', '۱۴۰۲', 'فرهنگی', 'ماقبل', 'مزدوجین', 'چادرملو']","['بازنشستگان فرهنگی ۱۴۰۰', 'فرهنگیان بازنشسته ۱۴۰۰', 'بازنشستگان فرهنگی (۱۴۰۰،۱۴۰۱،۱۴۰۲)']"
107,106,17,106_التحصیلان_فارغ_رشته_بالینی,"['التحصیلان', 'فارغ', 'رشته', 'بالینی', 'آزمایشگاهی', 'آموختگان', 'بالا', 'انفورماتیک', 'حرکات', 'اصلاحی']","['فارغ التحصیلان رشته بهداشت حرفه ای', 'فارغ التحصیلان رشته علوم آزمایشگاهی بالینی', 'فارغ التحصیلان رشته آسیب شناسی ورزشی و حرکات اصلاحی']"
108,107,16,107_عموم_آبفا_کیشوندان_هموطنان,"['عموم', 'آبفا', 'کیشوندان', 'هموطنان', 'مادران', 'قراردادی', 'زنان', 'پزشکان', 'اقشار', 'کارکنان']","['عموم کارکنان آبفا', 'عموم مردم', 'عموم']"
109,108,16,108_رشته_روانشناسی_التحصیلان_مشاوره,"['رشته', 'روانشناسی', 'التحصیلان', 'مشاوره', 'فارغ', 'آموختگان', 'میکروبیولوژی', 'ازفارغ', 'تحصیلکردگان', 'زبانشناسی']","['جمعی از دانشجویان و فارغ التحصیلان کارشناسی ارشد روانشناسی عمومی', 'جمعی از دانش آموختگان ارشد و دکتری روانشناسی و مشاوره', 'جمعی از دانش\u200cآموختگان رشته\u200cهای روانشناسی و مشاوره']"
110,109,16,109_ورزشکاران_پیشکسوتان_اف_1400,"['ورزشکاران', 'پیشکسوتان', 'اف', '1400', 'آی', 'مجالس', 'بادبانی', 'بت', 'موظفین', 'تئاتری']","['ورزشکاران مربیان داوران پیشکسوتان ورزش هاکی کشور', 'ورزشکاران حرفه\u200cای فدراسیون\u200cهای مختلف ورزشی و مدال\u200cآوران سال\u200cهای 1401 و 1400', 'ورزشکاران و مربیان و افسران ملی و پیشکسوتان بادبانی']"
111,110,16,110_التحصیلان_فارغ_دانشگاهی_بینا,"['التحصیلان', 'فارغ', 'دانشگاهی', 'بینا', 'نابینا', 'تحصیلکرده', 'شصتی', 'دکترا', 'مجرد', 'داروسازی']","['فارغ التحصیلان دانشگاهی', 'فارغ\u200cالتحصیلان دانشگاهی و دانشجویان', 'دانشجویان و فارغ التحصیلان دانشگاهی']"
112,111,16,111_مامایی_دانشجو_زبانشناسی_التحصیل,"['مامایی', 'دانشجو', 'زبانشناسی', 'التحصیل', 'دکتری', 'دانشجویان', 'داوطلبین', 'داروسازی', 'دامپزشکی', 'دندانپزشکی']","['دانشجو معلمان گیلان', 'دانشجویان مامایی', 'گروه مامایی']"
113,112,15,112_شریف_انقلابی_مدار_کوهرنگ,"['شریف', 'انقلابی', 'مدار', 'کوهرنگ', 'نجیب', 'ولایتمدار', 'فهیم', 'خواهر', 'چادگان', 'برادر']","['مردم نجیب و فهیم سرچشمه ازشهرستان زارچ استان یزد', 'بسیجیان خواهر و برادر انقلابی شهرستان کوهرنگ', 'بسیجیان انقلابی و ولایتمدار شهرستان کوهرنگ']"
114,113,15,113_فولاد_مخابرات_فولادی_آهن,"['فولاد', 'مخابرات', 'فولادی', 'آهن', 'راه', 'بازنشستگان', 'صنعت', 'کاسپین', 'اعتباری', 'موسسه']","['بازنشستگان صنعت فولاد کشور', 'بازنشستگان راه آهن مشهد', 'کارمندان راه آهن کشور']"
115,114,15,114_کارگران_دکان_خانمان_رفتگرها,"['کارگران', 'دکان', 'خانمان', 'رفتگرها', 'وکارمندان', 'خبازان', 'مستاجران', 'کارمندان', 'انسانی', 'کارفرمایان']","['کارمندان و کارگران', 'کارگران و کارمندان', 'قشر کارگران دکان\u200cداران و خبازان']"
116,115,15,115_شهر_شهروندان_طالخونچه_شهمیرزاد,"['شهر', 'شهروندان', 'طالخونچه', 'شهمیرزاد', 'مجلسی', 'راین', 'دربندسر', 'کهریزسنگ', 'هویتی', 'دهدشت']","['شهروندان شهر سده لنجان', 'شهروندان شهر جدید مجلسی', 'شهروندان شهر شمشک دربندسر']"
117,116,15,116_ضعیف_قشر_فقیر_اقشار,"['ضعیف', 'قشر', 'فقیر', 'اقشار', 'دهک', 'درآمد', 'متوسط', 'محروم', 'کارگر', 'جامعه']","['اقشار ضعیف جامعه', 'قشر ضعیف کارگران', 'قشر ضعیف جامعه']"
118,117,15,117_والدین_آموزان_کنکوری_دانش,"['والدین', 'آموزان', 'کنکوری', 'دانش', 'کودکان', 'المپیادی', 'دبیرستانی', 'پسر', 'دختر', 'فسا']","['دانش\u200cآموزان و کنکوری\u200cها', 'والدین و دانش\u200cآموزان', 'دانش\u200cآموزان و والدین']"
119,118,15,118_سربازی_وظیفه_مشمولان_خدمت,"['سربازی', 'وظیفه', 'مشمولان', 'خدمت', 'مشمول', 'مشمولین', 'امریه', 'سربازان', 'غیبت', 'کفالت']","['سربازی وظیفه', 'مشمولین خدمت وظیفه', 'مشمولین خدمت سربازی']"
120,119,15,119_نظام_مهندسی_ساختمان_اعضای,"['نظام', 'مهندسی', 'ساختمان', 'اعضای', 'مهندسین', 'سازمان', 'انبوه', 'ناپیوسته', 'مدرک', 'سازندگان']","['جمعی از مهندسین نظام مهندسی ساختمان', 'جمعی از اعضای سازمان نظام مهندسی ساختمان سراسر کشور', 'جمعی از اعضای نظام مهندسی ساختمان']"
121,120,14,120_فرزندان_خانواده_دوقلو_امنیتی,"['فرزندان', 'خانواده', 'دوقلو', 'امنیتی', 'توان', 'محکومین', 'فرزندپذیر', 'مخدر', 'اتیسم', 'اوتیسم']","['خانواده محکومین مواد مخدر', 'فرزندان ایثارگر مناطق امنیتی', 'فرزندان ایثارگران']"
122,121,14,121_کشور_قرنطینه_اپتومتریستهای_خوشنویسان,"['کشور', 'قرنطینه', 'اپتومتریستهای', 'خوشنویسان', 'کلینیک', 'کمک', 'بهورزان', 'ماماهای', 'کد', 'دانشجومعلمان']","['اپتومتریستهای کشور', 'خوشنویسان کشور', 'کلینیک\u200cهای قرنطینه کد دار کشور']"
123,122,14,122_ایثارگران_شهدای_شهداء_فرزندان,"['ایثارگران', 'شهدای', 'شهداء', 'فرزندان', 'حرم', 'معزز', 'خانواده', 'شاهد', 'فارس', 'سلحشوران']","['جمعی از خانواده ایثارگران، فرزندان ایثارگر', 'جمع کثیری از جامعه بزرگ ایثارگران و خانواده معزز آنان', 'جمعی از ایثارگران و خانواده شهدای کشور']"
124,123,14,123_آذربایجان_غربی_شرقی_بایجان,"['آذربایجان', 'غربی', 'شرقی', 'بایجان', 'استان', 'مرزنشینان', 'آذر', 'اکثریت', 'آحاد', 'معتمدین']","['مردم آذربایجان غربی', 'مردم استان آذربایجان غربی', 'شهروندان استان\u200cهای آذربایجان غربی و شرقی']"
125,124,14,124_آبخیزداری_امور_سازمان_مراتع,"['آبخیزداری', 'امور', 'سازمان', 'مراتع', 'جنگل', 'بازنشسته', 'مالیاتی', 'کمیته', 'امداد', 'بودجه']","['بازنشستگان و مستمری بگیران مجموعه سازمان منابع طبیعی و آبخیزداری کشور', 'کارکنان سازمان جنگل\u200cها، مراتع و آبخیزداری کشور', 'کارنامه\u200cسبزهای سازمان جنگل\u200cها، مراتع و آبخیزداری کشور']"
126,125,13,125_تامین_اجتماعی_صندوق_بیمه,"['تامین', 'اجتماعی', 'صندوق', 'بیمه', 'پوشش', 'تحت', 'بازنشستگی', 'تأمین', 'مشهدمقدس', 'کارگری']","['جمعی از جامعه بازنشستگان کارگری تامین اجتماعی', 'جمعی از شاغلان تحت پوشش بیمه تامین اجتماعی کشور', 'جمعی از بازنشستگان تامین اجتماعی']"
127,126,13,126_کشاورزان_دامداران_باغداران_خرما,"['کشاورزان', 'دامداران', 'باغداران', 'خرما', 'گندم', 'گوشت', 'محصول', 'زعفرانکاران', 'مرغداران', 'مرغ']","['کشاورزان و سهامداران', 'کشاورزان و دامداران', 'دامداران و کشاورزان']"
128,127,13,127_اسلامی_آزاد_دانشگاه_ازاد,"['اسلامی', 'آزاد', 'دانشگاه', 'ازاد', 'نفع', 'مدرسین', 'دانشجویان', 'ذی', 'دامپزشکی', 'هایشان']","['دانشجویان دانشگاه\u200cهای آزاد اسلامی', 'دانشجویان دانشگاه\u200c آزاد اسلامی', 'دانشجویان دانشگاه آزاد اسلامی']"
129,128,13,128_وزارت_بهداشت_دکتری_1402,"['وزارت', 'بهداشت', 'دکتری', '1402', 'ارشد', 'داوطلبان', 'داوطلبین', 'کنکور', 'آزمون', 'داوطلب']","['داوطلبان آزمون دکتری تخصصی وزارت بهداشت', 'فارغ\u200cالتحصیلان دکتری وزارت بهداشت', 'داوطلبان کنکور ارشد وزارت بهداشت']"
130,129,12,129_کارگران_ساختمانی_اتفاقات_رجا,"['کارگران', 'ساختمانی', 'اتفاقات', 'رجا', 'چوبی', 'روابط', 'کارگر', 'مشاغل', 'آهن', 'خرد']","['کارگران ایران', 'اتحادیه کارگران ساختمانی', 'کارگران ساختمانی']"
131,130,12,130_وکلا_حقوقی_وکالت_حقوقدانان,"['وکلا', 'حقوقی', 'وکالت', 'حقوقدانان', 'قضات', 'کارآموزان', 'حقوق', 'اساتید', 'آموختگان', 'شهروندی']","['داوطلبان آزمون وکالت، حقوقدانان، وکلا، اساتید دانشگاه', 'نخبگان حقوقی، وکلا، اساتید دانشگاه، کارآموزان و داوطلبان وکالت', 'عموم مردم / جامعه حقوقی / جامعه دانشگاهی / وکلا / کارآموزان / داوطلبین آزمون وکالت / دانش آموختگان حقوق/ تمامی شهروندان / پرسنل و کارکنان قوه قضاییه / کانون وکلا / مرکز وکلا / دانشجویان / دانشجویان حقوق']"
132,131,12,131_قوم_سنت_بختیاری_اهل,"['قوم', 'سنت', 'بختیاری', 'اهل', 'لر', 'قشقایی', 'اصالت', 'جغرافیای', 'زبان', 'پارسی']","['قوم لر', 'قوم غیور بختیاری', 'قوم بختیاری']"
133,132,11,132_سبزها_حسابرسان_حسابداران_کارنامه,"['سبزها', 'حسابرسان', 'حسابداران', 'کارنامه', 'بسیجیان', 'مشاوران', 'فرهنگیان', 'رزمندگان', 'کارمندان', 'بازنشستگان']","['بسیجیان، رزمندگان', 'حسابداران، حسابرسان', 'دانشجویان، کارنامه سبزها']"
134,133,11,133_آرادان_هفتکل_ایوانکی_رباط,"['آرادان', 'هفتکل', 'ایوانکی', 'رباط', 'لالی', 'ملارد', 'اندیکا', 'کریم', 'گرمسار', 'شهریار']","['شهروندان مسجدسلیمان.لالی.اندیکا و هفتکل', 'عموم شهروندان حوزه انتخابیه مسجدسلیمان ، لالی ، هفتکل و اندیکا', 'کارکنان اورژانس شهرستانهای شهریا، ملارد، رباط کریم و بهارستان']"
135,134,11,134_آموزان_دانش_وتربیت_اولیای,"['آموزان', 'دانش', 'وتربیت', 'اولیای', 'تعلیم', 'المپیادهای', 'هنرستانها', 'وعلاقه', 'روزانه', 'آوران']","['جمعی از معلمان دانش آموزان والدین اساتید وعلاقه مندان حوزه تعلیم وتربیت', 'جمعی از معلمان، دانش آموزان، والدین، اساتید و علاقه\u200cمندان حوزه تعلیم وتربیت', 'جمعی از فرهنگیان ،دانش آموزان ،اولیای دانش آموزان ،اساتید دانشگاه فرهنگیان']"
136,135,11,135_دهه_شصتی_جویای_کار,"['دهه', 'شصتی', 'جویای', 'کار', 'جوانان', 'متولدین', 'کارجوی', 'پنجاهی', 'اغلب', 'شهرستانی']","['جوانان مجرد دهه پنجاهی و دهه شصتی', 'جوانان دهه شصتی', 'جوانان جویای کار دهه شصتی']"
137,136,11,136_شریف_گنبدکاووس_سربداران_فریدونشهر,"['شریف', 'گنبدکاووس', 'سربداران', 'فریدونشهر', 'گان', 'کله', 'لارستان', 'بندرانزلی', 'نجیب', 'بزرگ']","['مردم شریف خوزستان', 'مردم شریف گنبدکاووس', 'مردم شریف گنبدکاووس و حومه']"
138,137,11,137_ماده_۲۸_مهارت_چهارصد,"['ماده', '۲۸', 'مهارت', 'چهارصد', 'هزارو', '۱۳۹۸', '28', 'قبولی', 'نو', 'جدید']","['معلمان ماده ۲۸', 'فرهنگیان ماده ۲۸', 'دانشجویان ماده ۲۸']"
139,138,10,138_فکری_مربیان_کانون_معاینه,"['فکری', 'مربیان', 'کانون', 'معاینه', 'دبستانی', 'پاره', 'وقت', 'مهدهای', 'پیش', 'پرورشی']","['کارکنان کانون پرورش فکری کودکان و نوجوانان', 'همکاران کانون پرورش فکری', 'مربیان پاره وقت کانون پرورش فکری']"
140,139,10,139_بیت_عاشقان_اهل_لهجه,"['بیت', 'عاشقان', 'اهل', 'لهجه', 'قران', 'ابتهاج', 'مرحوم', 'اباعبدالله', 'هیرکانی', 'ارشا']","['عاشقان اباعبدالله الحسین', 'محبین اهل بیت', 'علاقه\u200cمندان به اهل بیت (ع)']"
141,140,10,140_انقلابی_جوانان_حزب_الله,"['انقلابی', 'جوانان', 'حزب', 'الله', 'امت', 'دامغان', 'غیور', 'اراک', 'هرمزگان', 'بسیجیان']","['دانش\u200cآموزان انقلابی', 'نیروهای انقلابی', 'جوانان انقلابی ایران']"
