,Target,Topics
1352,جناب آقای رئیسی ریاست محترم جمهوری اسلامی ایران با سلام وادب احتراما اهالی بخش بزینه‌رود به علت جمعی,44
1353,وزیر محترم راه و شهرسازینماینده محترم شهرستان ابهر در مجلس شورای اسلامیمدیر عامل شرکت راه آهن با سلا,43
1354,مدیریت محترم اداره آب و فاضلاب دامغان با سلام؛ مردم روستای مهماندوست بیش از یک دهه است که در فصل گرم,-1
1355,وزیر محترم راه و شهرسازی با سلام؛ احتراما خواهشمند است جهت پایان دادن به مرگ، قطع عضو و از کار افتاد,8
1356,بسمه تعالی مسئولین و دلسوزان محترم شهرستان دامغان سلام علیکم احتراماً اینجانبان جمع کثیری از بانوان ,-1
1357,بسمه تعالی جناب آقای مهندس سید عزت‌اله ضرغامی وزیر محترم میراث فرهنگی، صنایع دستی و گردشگری با سلام ,19
1358,بسمه تعالی جناب آقای سیدمحمدرضا هاشمیاستاندار محترم سمنان نماینده محترم شهرستان گرمسار موضوع: آسفالت,13
1359,ریاست محترم جمهوری اسلامی ایرانریاست محترم مجلس شورای اسلامی وزیر محترم کشورریاست محترم کمیسیون امنی,35
1360,ریاست محترم جمهوریحضرت آیت الله دکتر سید ابراهیم رئیسیریاست محترم مجلس شورای اسلامیجناب آقای دکتر مح,49
1361,ریاست محترم جمهور با سلام؛ اینجانبان درخواست انتخاب جناب آقای معین‌الدین سعیدی، نماینده‌ی سابق چابها,-1
1362,وزیر محترم نیرو استاندار محترم سیستان و بلوچستان موضوع: اعتراض به قطعی پی‌درپی برق سطح شهر قطعی برق ,30
1363,وزیر محترم بهداشتجناب آقای دکتر ظفرقندی با سلام؛ لطفاً با حمایت از دکتر ایرج ضاربان، رئیس دانشکده عل,-1
1364,بسمه تعالی وزیر محترم آموزش و پرورش ریاست محترم سازمان سنجش آموزش کشور نمایندگان محترم مردم شریف سیس,-1
1365,فرماندار محترم شهرستان جازموریان با سلام و احترام؛ به استحضار می‌رساند برای دهستان بوهنگ با جمعیت نز,30
1366,جناب آقای مهندس بلوچ‌زهی مدیر کل ارتباطات سیستان و بلوچستان جناب آقای مجیب حسنی فرماندار محترم شهرست,5
1367,رئیس محترم شرکت ملی پالایش و پخش فرآورده‌های نفتی ایران با سلام؛ با احترام، به استحضار می‌رساند طرح ,-1
1368,معاونت محترم حقوق عامه دادستان زاهدانجناب آقای دکتر ابوالفضل احمدزاده با سلام و احترام؛ به استحضار م,-1
1369,وزیر محترم بهداشت، درمان و آموزش پزشکی سلام و احترام، به استحضار می‌رساند که وضعیت فعلی تنها بیمارست,1
1370,بسمه تعالی استاندار محترم استان سیستان و بلوچستان جناب سردار کرمی مدیرعامل محترم توزیع برق استان س و,-1
1371,بنام خدا رییس جمهور محترم ایران اسلامیجناب آقای دکتر پزشکیان وزیر محترم کشور رییس محترم مجلس شورای ا,16
1372, رئیس محترم جمهور استاندار محترم استان سیستان‌و‌بلوچستان با سلام و احترام به نمایندگی از اهالی روستا,-1
1373,ریاست محترم جمهوری اسلامی ایرانجناب آقای دکتر پزشکیان رئیس محترم مجلس شورای اسلامیجناب آقای دکتر قال,-1
1374,رئیس جمهور منتخب آقای دکتر پزشکیان و اعضای محترم شورای راهبردی سلام نظر به توجه دولت دکتر پزشکیان به,-1
1375,دکتر دانیال بامری داروساز مجرب و متعهدی است که داروخانه خود را در شهرستان دلگان راه اندازی کرده است.,51
1376,استاندار محترم سیستان و بلوچستان سلام ما خواهان توسعه روستای تاریخی کشیک سنگان از توابع شهرستان خاش ,-1
1377,رئیس محترم سازمان مدیریت بحران وزیر محترم جهاد کشاورزی رئیس محترم صندوق بیمه‌ی کشاورزی رئیس محترم هل,153
1378,جناب آقای امید بامری بخشدار محترم جلگه چاه هاشم با سلام احتراما به اطلاع می‌رساند در محور جلگه چاه ه,-1
1379,وزیر محترم صنعت، معدن و تجارت، ریاست محترم سازمان حفاظت محیط زیست، با سلام تفتان با طبیعتی زیبا و من,-1
1380,وزیر محترم کشوراستاندار محترم سیستان و بلوچستان سلام علیکماحتراما به استحضار می‌رسانیم ما اهالی روست,-1
1381,ریاست محترم جمهوری اسلامی ایرانوزیرمحترم نیرو با سلامشما ازوضعیت زندگی مردم سیستان بی خبر هستید. زند,-1
1382,جناب آقای دکتر زارع‌پوروزیر محترم ارتباطات و فناوری اطلاعاتجناب آقای بلوچ‌زهیمدیرکل محترم ارتباطات ا,127
1383,جناب آقای ‌امیرعبداللهیانوزیر محترم امور خارجهجناب آقای جلال‌زادهرئیس محترم کمیسیون امنیت ملی و سیاس,82
1384,جناب آقای عیسی زارع‌پوروزیر محترم ارتباطات‌ و فناوری اطلاعاتجناب آقای حسین مدرس‌خیابانیاستاندار محتر,127
1385,استاندار محترم فارس نماینده محترم مرودشت در مجلس شورای اسلامی فرماندار محترم مرودشت با سلام، احتراما,43
1386,ریاست محترم اداره برق شهرستان نی‌ریز با سلام و احترام؛ در دو ماه اول تابستان به دلیل گرمای زیاد هوا،,51
1387,مجمع محترم نمایندگان استان فارس وزیر محترم آموزش و پرورش سلام با توجه به اینکه ظرفیت کنکور فرهنگیان ,4
1388,نماینده محترم شهرستان مرودشتجناب آقای اسفندیار عبداللهی عرض سلام و ادب؛ ما مردم شانزده روستای جنوب ر,30
1389,وزیر محترم میراث فرهنگی با درود و عرض ادب؛ در کشورمان آثار تاریخی زیادی وجود دارد که متأسفانه در حال,-1
1390,رئیس محترم قوه مقننه رئیس محترم کمیسیون اصل ۹۰ با سلام و احترام؛ با توجه به عدم رعایت مقررات مالی در,-1
1391,بسم رب الشهدا و الصدقین خانواده‏‌های شهدا، تا همیشۀ تاریخ این مشعل داران راه اولیاء، افتخار روشنایی ,41
1392,نماینده محترم شهرستان‌های لامرد و مهر در مجلس شورای اسلامیجناب آقای دکتر موسی موسوی فرماندار محترم ش,46
1393,فرماندار محترم شهرستان دشتستان با سلام؛ جایگاه سوخت شهر کلمه چند سال است که نیمه‌تمام مانده و هنوز ر,-1
1394,جناب آقای دکتر فروردین نماینده محترم شهرستان فیروزآباد در مجلس شورای اسلامی به دلیل اینکه شهرستان فی,46
1395,ریاست محترم جمهوری اسلامی ایران استاندار محترم استان فارس استاندار محترم استان اصفهان نمایندگان محتر,-1
1396,بسم الله الرحمن الرحیم رئیس جمهور محترم جناب آقای دکتر پزشکیان وزیر محترم بهداشت، درمان و آموزش پزشک,1
1397,بسم الله القاصم الجبارین قال امیرالمؤمنین: «لاَ یَسْتَقِیمُ قَضَاءُ الْحَوَائِجِ إِلاَّ بثَلاَث: باس,22
1398,ریاست محترم جمهوری اسلامی ایران ریاست محترم مجلس شورای اسلامی وزیر محترم نیرو استاندار محترم فارس با,40
1399,جناب آقای دکتر پزشکیان رییس جمهور محترم با سلام، احتراما به اطلاع می‌رساند در روستای گرم اباد بخش مر,-1
1400,جناب آقای محمد رضا عارف معاون اول محترم ریاست جمهوری ایران با سلام احتراماً به استناد تبصره الحاقی ب,0
1401,ریاست محترم جمهوری جناب آقای دکتر پزشکیانوزیر محترم کشوراستاندار محترم استان فارسدادستان محترم عمومی,-1
1402,بسمه تعالی وزیر محترم راه و شهرسازی ما امضاکنندگان این کارزار درخواست داریم نسبت به تأمین بودجه و دو,20
1403,رئیس جمهور منتخب ‌و محترم جمهوری اسلامی ایرانرئیس محترم مجلس شورای اسلامیوزیر محترم کشوراستاندار محت,152
1404,کارزار دعوت از «یک نفر + همه مردم » برای خدمت در فضای پرهیاهوی سیاسی، شاهد تلاش‌های فراوانی برای رسی,-1
1405,به نام خدا رئیس محترم سازمان ملی زمین و مسکن مدیرکل محترم راه و شهرسازی استان فارس با سلام و احترام،,-1
1406,باسمه تعالی نماینده ی محترم مردم شریف شهرستان فسا در مجلس شورای اسلامی سلام علیکم؛ با توجه به تشدید ,-1
1407,بسمه تعالی رئیس محترم قوه قضائیه سلام علیکم؛احتراما به استحضار می‌رساند، مردم و کسبه کازرون سال‌ها ا,-1
1408,ریاست محترم جمهوری اسلامی ایران استاندار محترم استان فارس نمایندگان محترم مجلس شورای اسلامی با سلام ,-1
1409,جناب دکتر مسعود پزشکیانرئیس جمهور منتخب سلام علیکماحتراماً به استحضار می‌رساند روستاهای بنه کلاغی، ر,0
1410,اعضای محترم شورای شهر استهبان درود، ما امضاکنندگان این طومار خواستار اصلاح تغییرات نازیبای ایجاد شده,20
1411,ریاست محترم جمهوری اسلامی ایرانوزیر محترم راه و شهرسازیمدیر کل محترم راه و شهرسازی استان فارسنماینده,-1
1412,ریاست محترم شبکه بهداشت و درمان شهرستان جهرم موضوع: درخواست اصلاح سایت نوبت‌دهی پزشکان شهرستان جهرم ,-1
1413,وزیر محترم بهداشت و درمان آموزش پزشکیآقای دکتر عین اللهی استاندار محترم فارسآقای دکتر ایمانیه رئیس م,11
1414,استاندار محترم فارس مدیرکل محترم محیط زیست فارس رئیس و اعضای محترم شورای روستای قلات سلام؛ این کارزا,121
1415,ریاست محترم بنیاد حفظ آثار و نشر ارزش های دفاع مقدس جمهوری اسلامی ایران سلام و احترام؛ پیکر مطهر شهی,81
1416,ریاست محترم جمهوری اسلامی ایرانوزیر محترم راه و شهرسازیامام جمعه محترم فارسنماینده محترم مردم شریف م,-1
1417,وزیر محترم صمت سلام علیکم حدود شش سال پیش یک فرد سرمایه‌دار و دارای نفوذ، در وسط رودخانه خشک در دل ج,-1
1418,جناب آقای دکتر محمدرضا رضایی نماینده محترم و محبوب مردم شهرستان‌های جهرم و خفر و رئیس کمیسیون عمران ,56
1419,استاندار محترم فارس ریاست محترم اوقاف استان فارس نماینده محترم شهرستان های کازرون و کوهچنار در مجلس ,43
1420,به نام خدا ریاست محترم شورای شهر شیراز عرض سلام و ادب احتراما به استحضار می‌رساند بخش اعظمی از جمعیت,-1
1421,جناب آقای مهندس ضرغامیوزیر محترم میراث فرهنگی،‌ گردشگری و صنایع دستیبا سلاماحتراماً به استحضار می‌رس,19
1422,جناب آقای عزت‌الله ضرغامیوزیر محترم میراث فرهنگی، گردشگری و صنایع دستی با سلام و احترامهمان گونه که ,19
1423,جناب سرکار خانم دکتر فرزانه صادق وزیر محترم راه و شهرسازی با سلام و احترام، ضمن عرض تبریک انتصاب شای,-1
1424,به نام خدا نماینده محترم مجلس شورای اسلامی شهر قزوینسرکار خانم دکتر محمدبیگی با عرض سلام با توجه به ,-1
1425,بسم‌الله الرحمن الرحیم وزیر محترم راه و شهرسازیاستاندار محترم قزوینفرماندار محترم شهرستان قزوینمدیر ,36
1426,ریاست محترم قوه قضائیه با سلام و احترام خواهشمند است نسبت به تسریع در احقاق حق مالباختگان شرکت‌های خ,-1
1427,وزیر محترم راه و شهرسازی سلام؛ درخواست اجرای مترو قطار برقی تهران-قزوین با بهره‌گیری ۱۱ استان با زما,151
1428,جناب آقای دکتر عین الهی وزیر محترم بهداشت درمان و آموزش پزشکی، با سلام به استحضار می‌رساند که روستاه,1
1429,جناب آقای مهندس رستم قاسمیوزیر محترم راه و شهرسازیجناب آقای مهندس عزت‌الله ضرغامیوزیر محترم میراث فر,123
1430,جناب آقای رستم قاسمیوزیر محترم راه و شهرسازیجناب آقای عزیز فیلیمدیرعامل محترم شرکت آزادراه قزوین-رشت,-1
1431,بسمه تعالی وزیر محترم مسکن و شهرسازی با سلام؛ مسکن ملی برای اقشار کم درآمد و طبقه پایین جامعه هست و ,-1
1432,استاندار محترم استان قم فرماندار محترم قم شهردار محترم قم سلام از شما درخواست می‌کنیم برای حفظ ایمنی,121
1433,بسمه تعالی ریاست محترم جمهوری اسلامی ایران با سلام و عرض تحیت به استحضار می‌رساند روستای حاجی آباد ب,-1
1434,وزیر محترم راه و شهرسازی با سلام و عرض ادب احتراما به استحضار می‌رساند قریب به ۲۰ سال هست که با مکات,-1
1435,رئیس جمهور منتخب مردم ایرانوزیر محترم راه و شهرسازیرئیس محترم اداره گمرکات ایراناستاندار محترم کردست,-1
1436,بسمه تعالی ریاست محترم دادگستری استان کردستان دادستان محترم مریوان استاندار محترم استان کردستان فرما,122
1437,فرماندار محترم شهرستان قروه دادستان محترم شهرستان قروه سلام علیکم احتراما به استحضار می‌رساند که به ,-1
1438,به نام پروردگارمهرگسترِمهربان جناب آقای دکتر سید عزّت اللّٰه ضرغامیوزیر محترم وزارتِ میراث فرهنگی، گ,19
1439,فرماندار محترم شهرستان مریوان دادستان محترم شهرستان مریوان شهردار محترم شهرستان مریوان مدیران محترم ,163
1440,ریاست محترم دادگستری استان کردستان ریاست محترم دادگستری شهرستان مریوان دادستان محترم شهرستان مریوان ,122
1441,جناب آقای علی‌اصغر مونسانوزیر محترم میراث فرهنگی، گردشگری و صنایع دستی با سلاموقتی می‌بینیم هنر مورو,19
1442,وزیر محترم علوم، تحقیقات و فناوری با سلام و احترام؛ با استحضار می‌رساند هیئت بدوی انتظامی اعضای هیئت,7
1443,ریاست محترم جمهورجناب آقای دکتر پزشکیان با سلام؛ همان‌گونه که مستحضرید، استان کرمان به عنوان استان ز,0
1444,ریاست محترم جمهوری اسلامی ایران ریاست محترم مجلس شورای اسلامی ایران ریاست محترم قوه قضائیه جمهوری اس,35
1445,مدیریت محترم اداره محیط زیست کرمان عرض سلام؛ احتراما به استحضار می‌رساند در شهرباغین در اولین ساعات ,-1
1446,بسمه تعالی جناب آقای اژه‌ای ریاست محترم قوه قضائیه با عرض سلام و خداقوت، درخواست رسیدگی به شکایت و د,115
1447,بسمه‌تعالی نماینده محترم شهرستان جیرفت و عنبرآباد با عرض سلام و احترام، روستای کلبندان دسک و گمرکان ,30
1448,ریاست محترم جمهور جناب دکتر پزشکیان با سلام و درود؛ ما عموم مردم جنوب ایران و به‌خصوص استان کرمان خو,0
1449,شهردار محترم کرمان سلام با احترام به اطلاع می‌رساند تمامی شاغلین بساط غذای خیابانی میدان هفت باغ به ,-1
1450,استاندار محترم کرمان امام جمعه محترم شهر رابر با سلام و احترام؛ اینجانب به عنوان یکی از اهالی شهرستا,-1
1451,ریاست محترم جمهورجناب آقای دکتر پزشکیان با سلام از آقای پزشکیان تقاضا داریم که آقای محمدمهدی فداکار ,0
1452,بنام خدا ریاست محترم جمهوری اسلامی ایرانجناب آقای دکتر پزشکیان با سلام و عرض ادب؛ احتراما به استحضار,0
1453,ریاست جمهور معزز و منتخبجناب دکتر پزشکیان با سلام و‌احترام؛ علی‌رغم شعارها و استفاده تبلیغاتی از تشک,0
1454,رییس جمهور محترمجناب آقای دکتر پزشکیان با سلام؛ اینجانب به‌همراه جمعی از کارگران عملیات و استخراج مع,0
1455,با سلام و احترام، اینجانب حسین احمدیوسفی، به نمایندگی از اهالی روستای سیاه معدن، شهرستان عنبرآباد، ب,30
1456,وزیر محترم فرهنگ و ارشاد اسلامی مدیر کل محترم فرهنگ و ارشاد اسلامی کرمان رئیس محترم سازمان نوسازی، ت,-1
1457,رئيس محترم سازمان جنگل‌ها و مراتع کشور مدیر کل محترم منابع طبیعی استان کرمان استاندار محترم کرمان فر,-1
1458,وزیر محترم کشور استاندار محترم کرمان سلام علیکم با احترام درخواست مردم انقلابی و همیشه در صحنه شهر و,-1
1459,بسمه تعالی استاندار محترم استان کرمان مسئولین محترم استانی و دانشگاهی با سلام، امضا کنندگان ذیل، جمع,-1
1460,وزیر محترم راه و شهرسازی مدیرکل محترم راه و شهرسازی کرمان با سلام و احترام؛ ما مردم روستای منطقه آبد,151
1461,وزیر محترم راه و شهرسازی مدیرکل محترم راه و شهرسازی کرمان سلام؛ ما مردم دهج از شهرستان شهربابک که چن,151
1462,بسم الله الرحمن الرحیم رئیس محترم جمهور رئيس و نمایندگان محترم مجلس شورای اسلامی رئیس محترم قوه قضائ,-1
1463,جناب آقای ضرغامیوزیر محترم وزارت میراث فرهنگی، گردشگری و صنایع دستی جناب آقای فداکاراستاندار محترم ک,59
1464,وزارت محترم آموزش و پرورش ریاست محترم سازمان بهزیستی کشور ریاست محترم اورژانس اجتماعی کرمان با سلام ,-1
1465,باسمه تعالی سرکار خانم الهام آزاد نماینده محترم مردم نایین در مجلس شورای اسلامی با سلام و احترامدر چ,46
1466,وزیر محترم آموزش و پرورش مدیرکل محترم آموزش و پرورش استان کرمانشاه رئیس محترم دیوان عدالت اداری سلام,96
1467,بسمه تعالی ریاست محترم دانشگاه علوم پزشکی کرمانشاه با سلام؛ ما جمعی از دانشجویان دانشگاه علوم پزشکی ,12
1468,به نام خدا ریاست محترم سازمان جهاد کشاورزی استان کرمانشاه آیا می‌توان از زمین انتظار باروری داشت، وق,-1
1469,نمایندە مردم اسلام آباد غرب در مجلس شورای اسلامی، آقای مجتبی بخشیپور رئیس محترم دفتر ریاست جمهوری رو,46
1470,به نام خدا ریاست و اعضای محترم شورای اسلامی شهر صحنه با سلام و احترام، به اطلاع می‌رساند که نارضایتی,-1
1471,دکتر مسعود پزشکیان رئیس جمهور منتخب دولت چهاردهم با سلام و احترام در اول درخواست از دکتر امینی که یک,27
1472,بسمه تعالی استاندار محترم استان کرمانشاه نمایندگان محترم مردم کرمانشاه در مجلس شورای اسلامی سلام علی,-1
1473,بسم الله الرحمن الرحیم پیامبر اکرم (ص) می‌فرمایند: طَلَبُ العِلمِ فَریضَهٌ عَلی کُلِّ مُسلِمٍ و مُسل,22
1474,ریاست محترم جمهوری اسلامی ایران وزیر محترم راه و شهرسازی با سلام و احترام آیا می‌دانید مرگبارترین مح,150
1475,جناب آقای بهمن امیری مقدماستاندار محترم کرمانشاهجناب آقای ابراهیم رحیمی زنگنه فرماندار محترم کرمانشا,5
1476,ریاست محترم جمهوریرئیس محترم سازمان محیط زیست کل کشور با سلامخشکسالی‌های چندین سال اخیر و استفاده بی,25
1477,جناب آقای دکتر احمد وحیدیوزیر محترم کشورجناب آقای دکتر زارعی کوشااستاندار محترم استان کردستان سلام ع,5
1478,بسم الله الرحمن الرحیم حجت الاسلام و المسلمین محسنی اژه ای ریاست محترم قوه قضائیه با سلام و آرزوی نی,-1
1479,بسمه تعالی ریاست محترم جمهوری اسلامی ایران با سلام؛ از رئیس جمهور محترم می‌خواهیم تا طبق تعریف قومیت,-1
1480,بسم الله الرحمن الرحیم ریاست سازمان منابع طبیعی و آبخیزداری کشور سلام علیکم؛ آنچه این روزها در استان,-1
1481,باسمه تعالی ما جمعی از مردم ولایت مدار و شهیدپرور شهرستان باشت، از رئیس جمهور محترم کشور جناب آقای د,-1
1482,بسمه تعالیریاست محترم جمهوری اسلامی ایرانریاست محترم قوه قضائیه جمهوری اسلامی ایرانبا سلام و احتراما,80
1483,استاندار محترم استان کهگیلویه و بویراحمدمعاونت محترم عمرانی استانداری استان کهگیلویه و بویراحمدمدیر ,-1
1484,ریاست محترم جمهوری اسلامی ایرانریاست محترم سازمان حفاظت محیط زیست کشوروزیر محترم کشوراستاندار محترم ,40
1485,ریاست محترم جمهور وزیر محترم راه و شهرسازی سلام مدت ۱۶ سال هست که در گنبدکاووس، زمین واقع در شهرک به,-1
1486,ریاست محترم جمهور با عرض سلام چندین سال هست که آب شهری گرگان نزدیک به ۹ الی ۱۱ ساعت در شبانه روز قطع,-1
1487,ریاست محترم جمهورریاست محترم مجلس شورای اسلامیریاست محترم بانک مرکزیریاست محترم بنیاد مسکنریاست محتر,-1
1488,دادستان محترم شهرستان فومن فرمانده نیروی انتظامی شهرستان فومن با سلام؛ با احترام، در خصوص حمله یک خا,-1
1489,استاندار محترم گیلان با سلام؛ به استحضار می‌رساند ما اهالی روستای تازه‌آباد شهرستان رضوانشهر استان گ,30
1490,مدیر عامل سازمان بنادر و دریانوردیجناب آقای دکتر علی اکبر صفایی با سلام؛ بندر آستارا نزدیک‌ترین بندر,-1
1491,رئیس محترم محیط زیست شهرستان لاهیجان با سلام و احترام؛ دپوی زباله لاهیجان در روستای تموشل باعث آلودگ,-1
1492,ریاست محترم جمهورجناب آقای دکتر پزشکیان ریاست محترم قوه قضائیهجناب آقای محسنی اژه‌ای ریاست محترم مجل,28
1493,خدمت رئس جمهور محترم جناب آقای دکتر پزشکیان و نمایندگان محترم استان گیلان با سلام امیدوارم در دوره ش,27
1494,جناب آقای دکتر پزشکیانرئیس‌جمهور منتخب جناب آقای هاشمیوزیر محترم ورزش و جوانان جناب آقای تاجریاست مح,103
1495,رئیس آب منطقه ایی استان گیلانآقای وحید خرمی نماینده محترم شهرستان رودبارآقای مهرداد گودرزوند چگینی م,-1
1496,وزیر محترم میراث فرهنگی، گردشگری و صنایع دستیجناب آقای عزت‌الله ضرغامی با سلام و احترام؛ مجسمه سنگی ,19
1497,ریاست محترم جمهورریاست محترم مجلس شورای اسلامیریاست محترم قوه قضائیهنماینده محترم مجلس شورای اسلامی ,35
1498,نمایند محترم مردم شریف شهرستان بندر انزلی جناب آقای دکتر احمد دنیامالی با سلام اینجانبان خواستار رسی,-1
1499,به نام خدا نمایندگان محترم مردم رشت در مجلس استاندار محترم گیلان شهردار محترم رشت ریاست محترم محیط ز,43
1500,ریاست محترم جمهوری اسلامی ایران جناب آقای دکتر سیّد ابراهیم رئیسی سلام علیکم اینجانبان، امضاءکنندگان,14
1501,جناب آقای محمدرضا فلاحتگرسرپرست محترم اداره راه و ترابری شهرستان رودبار جناب آقای طهمورث عموپورفرمان,5
1502,ریاست محترم جمهوری اسلامی ایرانوزیر محترم راه و شهرسازی با سلامخیل کثیری از روستائیانِ روستاهای شهرس,150
1503,جناب آقای دکتر سلاجقهرئیس محترم سازمان حفاظت محیط‌زیستجناب آقای دکتر عباسیاستاندار محترم گیلانجناب آ,55
1504,جناب آقای مهندس رستم قاسمیوزیر محترم راه و شهرسازیجناب آقای دکتر اسدالله عباسیاستاندار محترم گیلان ج,5
1505,جناب آقای مهندس رستم قاسمیوزیر محترم راه و شهرسازیجناب آقای دکتر اسدالله عباسیاستاندار محترم گیلان س,5
1506,جناب آقای وحیدی وزیر محترم کشور سلام علیکم با احترام به استحضار می رساند، اخباری مبنی بر درخواست جدا,87
1507,جناب آقای کاظمی وزیر محترم آموزش و پرورش موضوع: حذف کد ۶ و درخواست جذب به‌عنوان دانشجومعلم با سلام و,4
1508,رئیس جمهور محترم با سلام و تحیت؛ اینجانبان به استحضار می‌رسانیم در دو نوبت کنکور سراسری ۱۴۰۳-۱۴۰۲ و ,10
1509,رئیس‌ جمهور محترمجناب آقای دکتر مسعود پزشکیان با سلام و آرزوی موفقیت؛ طرهان بزرگ (کوهدشت) لرستان و ر,0
1510,شهردار محترم خرم‌آباد فرمانده محترم انتظامی خرم‌آباد با سلام و احترام؛ با توجه به توریستی بودن دریاچ,-1
1511,ریاست محترم جمهور جناب آقای دکتر پزشکیان سلام با توجه به اینکه شعار دولت حضرت عالی، خدمت به مردم و ش,0
1512,بسمه تعالی استاندار محترم استان لرستان سلام، اینجانبان به عنوان شهروندان در شهرستان کوهدشت تقاضا دار,-1
1513,رئیس محترم جمهور سلام و احترام؛ به استحضار می‌رساند که درخواست داریم دکتر امین چراغی به عنوان استاند,0
1514,بسم الله الرحمن الرحیم  جناب آقای دکتر مسعود پزشکیان رییس جمهور منتخب ملت شریف ایران سلام و عرض ادب ,116
1515,دادستان محترم دورود با سلام و احترام؛ چند سال قبل شهرداری دورود برای تأمین هزینه‌های تیم فوتبال گهر،,-1
1516,معاونت محترم پژوهشی دانشگاه علوم پزشکی لرستان با سلام و احترام با توجه به محدود بودن منابع دانشگاه د,-1
1517,ریاست محترم جمهوری سلام نظر به صحبتهای جناب عالی در راستای جذب نیروی های انقلابی و بومی پیشنهاد می‌ش,-1
1518,به نام خدا جناب آقای دکتر شفقتاستاندار محترم استان لرستان موضوع: ضرورت تسریع در روند ثبت جهانی درۀ خ,51
1519,وزیر محترم ورزش و جوانان با سلام؛ با توجه به اینکه شهرستان رومشکان از شهرستان‌های محروم استان لرستان,30
1520,رئیس جمهور منتخب ایران جناب آقای دکتر پزشکیان با سلام و دعای خیر احتراما به حضور می‌رساند؛ با تعمق د,0
1521,وزیر محترم نیرو سلام نظر به اینکه دو شهرستان کوهدشت و رومشکان و بخش‌های تابعه جز مناطق گرمسیری می‌با,30
1522,ب‍سم الله الرحمن الرحیم ریاست محترم قوه قضائیه موضوع کارزار اعتراضی: «درخواست رسیدگی به اعتراض مردمی,-1
1523,وزیر محترم وزارت راه و شهرسازی با احداث تونل مله کوه در شهرستان رومشکان از استان لرستان راه مواصلاتی,111
1524,ریاست محترم سازمان مدیریت بحران کشور ریاست محترم سازمان حفاظت محیط زیست درود خدمت شما به استحضار می‌,66
1525,جناب آقای شفقتاستاندار محترم استان لرستان سردار نعمت‌الله باقریفرمانده محترم سپاه لرستان امیر سرتیپ ,5
1526,ریاست‌ محترم جمهوری وزیر محترم راه و شهرسازی استاندار محترم لرستان سلام به استحضار می‌رساند کمربندی ,-1
1527,ریاست محترم قوه قضائیه جناب آقای اژه‌ای سلام علیکم دیوان عالی کشور شرکت سیمان خرم آباد را طی آخرین ر,-1
1528,رئیس محترم جمهور وزیر محترم راه و شهرسازی وزیر محترم کشور وزیر محترم اطلاعات با سلام اینجانبان، جمعی,160
1529,بسم الله الرحمن الرحیم رئیس محترم جمهور رئیس محترم مجلس شورای اسلامی وزیر محترم راه و شهرسازی موضوع:,-1
1530,بسمه تعالی ریاست محترم سازمان بازرسی کل کشور با سلام و احترام اینجانبان امضا کنندگان ذیل ساکن روستای,-1
1531,بسم الله الرحمن الرحیم ریاست محترم جمهوری اسلامی ایران جناب آقای دکتر پزشکیانبا سلام واحترام به استح,116
1532,نماینده محترم و فرهیخته تنکابندکتر شمس‌الدین حسینی با عرض سلام و ادب؛ ما جمعی از مردم شهرستان تنکابن,30
1533,نماینده محترم و فرهیخته تنکابندکتر شمس‌الدین حسینی با عرض سلام و ادب؛ ما جمعی از مردم شهرستان تنکابن,30
1534,به نام خدا جناب آقای سیدرضا صالحی امیریوزیر محترم میراث فرهنگی، گردشگری و صنایع دستی با سلام و احترا,19
1535,بسمه تعالی ریاست محترم جمهوری اسلامی ایرانجناب آقای دکتر پزشکیان با سلام و احترام؛ ما مردم سرزمین تا,0
1536,شهردار محترم آمل رئیس محترم اداره محیط زیست آمل رئیس محترم اداره میراث فرهنگی آمل سلام به نمایندگی ا,122
1537,رئیس محترم جمهور سلام از دکتر پزشکیان، رئیس جمهور محترم، درخواست داریم که چهار شهر استان مازندران، ن,-1
1538,جناب آقای دکتر پزشکیان ریاست محترم جمهوری اسلامی ایران با سلام و احترام همان‌طور که مستحضرید، شهرستا,0
1539,مدیرکل محترم بازرسی استان مازندران با درود؛ احتراما به استحضار می‌رساند با عنایت به اینکه منطقه سرخک,107
1540,ریاست محترم جمهوری اسلامی ایران جناب آقای پزشکیان با سلام احتراما به استحضار می‌رساند دکتر یحیی یوسف,0
1541,بسم الله الرحمن الرحیم ریاست محترم قوه قضائیه وزیر محترم کشور استاندار مازندران ریاست محترم سازمان ب,-1
1542,استاندار محترم استان مازندران با سلام واحترام به اطلاع حضرتعالی می‌رساند سال‌هاست که مصوبه شورای تأم,13
1543,فرماندارمحترم شهرستان چالوس جناب آقای شریفی با سلام و احترام؛ همانطور که مستحضرید روستاهای کوهستان غ,-1
1544,وزیر محترم نیرو موضوع: درخواست احداث نیروگاه محلی برق خورشیدی یا برق آبی روستایی سلام احتراما به است,-1
1545,به نام خدا رئیس محترم دفتر رهبر معظم انقلاب رئیس محترم جمهور استاندار محترم مازندران با سلام و احترا,-1
1546,جناب آقای رئیسی‌‌رئیس جمهور محترم ایرانجناب آقای عزت الله ضرغامیوزیر محترم میراث فرهنگی، گردشگری و ص,59
1547,به نام خدا رئیس محترم جمهوررئیس محترم مجلس شورای اسلامیرئیس محترم سازمان محیط زیستاستاندار محترم ماز,-1
1548,جناب آقای دکتر ظفرقندیوزیر محترم بهداشت درمان و آموزش پزشکی، با سلام به استحضار می‌رساند دهستان سه ه,1
